,team_id,season_id,league_id,team_income_fee,team_expenditure_fee,overall_balance_fee
549,130,2020,5,4000000,104330000,-100330000
550,12,2020,5,49000000,72100000,-23100000
551,1038,2020,5,12100000,17750000,-5650000
552,6574,2020,5,62360000,29660000,32700000
553,3522,2020,5,1960000,5140000,-3180000
554,416,2020,5,27000000,46700000,-19700000
555,410,2020,5,31550000,21500000,10050000
556,583,2020,6,400000,62000000,-61600000
557,244,2020,6,32050000,17420000,14630000
558,273,2020,6,55420000,70560000,-15140000
559,1082,2020,6,104180000,40430000,63750000
560,417,2020,6,20510000,29230000,-8720000
561,1421,2020,6,17000000,11200000,5800000
562,1041,2020,6,50600000,36690000,13910000
563,969,2020,6,0,13100000,-13100000
564,667,2020,6,500000,12000000,-11500000
565,162,2020,6,13530000,52700000,-39170000
566,1420,2020,6,10700000,11250000,-550000
567,40,2020,6,17000000,0,17000000
568,995,2020,6,2000000,5000000,-3000000
569,3911,2020,6,12000000,16100000,-4100000
570,347,2020,6,10000000,14700000,-4700000
571,2969,2020,6,17000000,15800000,1200000
572,618,2020,6,44100000,5600000,38500000
573,1160,2020,6,2500000,11250000,-8750000
574,1158,2020,6,6500000,26500000,-20000000
575,826,2020,6,0,19000000,-19000000
576,11,2021,2,31400000,167400000,-136000000
577,405,2021,2,127000000,129800000,-2800000
578,1148,2021,2,1000000,36700000,-35700000
579,1237,2021,2,78500000,75000000,3500000
580,1132,2021,2,40500000,49400000,-8900000
581,631,2021,2,148940000,118000000,30940000
582,873,2021,2,0,85620000,-85620000
583,29,2021,2,46000000,39500000,6500000
584,399,2021,2,0,59300000,-59300000
585,1003,2021,2,4000000,67600000,-63600000
586,31,2021,2,29550000,87000000,-57450000
587,281,2021,2,93800000,138900000,-45100000
588,985,2021,2,31100000,142000000,-110900000
589,762,2021,2,0,130500000,-130500000
590,1123,2021,2,38400000,63550000,-25150000
591,180,2021,2,60350000,43100000,17250000
592,148,2021,2,34620000,95900000,-61280000
593,1010,2021,2,12850000,43500000,-30650000
594,379,2021,2,4240000,74500000,-70260000
595,543,2021,2,31800000,37600000,-5800000
596,13,2021,3,22750000,80700000,-57950000
597,131,2021,3,70760000,69500000,1260000
598,418,2021,3,78000000,31000000,47000000
599,368,2021,3,28500000,41500000,-13000000
600,681,2021,3,0,2500000,-2500000
601,1050,2021,3,10380000,54500000,-44120000
602,150,2021,3,14000000,3250000,10750000
603,621,2021,3,0,0,0
604,16795,2021,3,3000000,17450000,-14450000
605,940,2021,3,1800000,10020000,-8220000
606,2687,2021,3,0,6100000,-6100000
607,714,2021,3,0,6000000,-6000000
608,331,2021,3,0,8700000,-8700000
609,3368,2021,3,0,875000,-875000
610,1049,2021,3,2700000,13350000,-10650000
611,3709,2021,3,21000000,16000000,5000000
612,1108,2021,3,3500000,1150000,2350000
613,1531,2021,3,2100000,8200000,-6100000
614,237,2021,3,9000000,10000000,-1000000
615,367,2021,3,2200000,4300000,-2100000
616,27,2021,4,4000000,57500000,-53500000
617,23826,2021,4,113500000,107620000,5880000
618,16,2021,4,109500000,45000000,64500000
619,82,2021,4,22700000,76180000,-53480000
620,24,2021,4,28400000,13450000,14950000
621,15,2021,4,43100000,55350000,-12250000
622,89,2021,4,19550000,20100000,-550000
623,18,2021,4,10200000,17000000,-6800000
624,79,2021,4,40920000,14850000,26070000
625,60,2021,4,14550000,9500000,5050000
626,533,2021,4,850000,0,850000
627,39,2021,4,18050000,6900000,11150000
628,167,2021,4,12800000,24060000,-11260000
629,44,2021,4,52500000,27400000,25100000
630,10,2021,4,500000,9440000,-8940000
631,3,2021,4,23450000,550000,22900000
632,80,2021,4,350000,0,350000
633,65,2021,4,3550000,1400000,2150000
634,46,2021,5,205050000,42550000,162500000
635,5,2021,5,5120000,93110000,-87990000
636,800,2021,5,48990000,65200000,-16210000
637,506,2021,5,64030000,129500000,-65470000
638,6195,2021,5,3200000,23300000,-20100000
