team_id,team_name
1041,Olympique Lyon
244,Olympique Marseille
347,FC Metz
1160,Nîmes Olympique
162,AS Monaco
969,HSC Montpellier
995,FC Nantes
417,OGC Nizza
583,FC Paris Saint-Germain
1421,Stade Reims
273,FC Stade Rennes
618,AS Saint-Étienne
667,RC Straßburg Alsace
415,FC Toulouse
583,FC Paris Saint-Germain
244,Olympique Marseille
273,FC Stade Rennes
1082,LOSC Lille
417,OGC Nizza
1421,Stade Reims
1041,Olympique Lyon
969,HSC Montpellier
667,RC Straßburg Alsace
162,AS Monaco
1420,Angers SCO
40,FC Girondins Bordeaux
995,FC Nantes
3911,Stade Brest 29
347,FC Metz
2969,Dijon FCO
618,AS Saint-Étienne
1160,Nîmes Olympique
1158,FC Lorient
826,RC Lens
1082,LOSC Lille
583,FC Paris Saint-Germain
162,AS Monaco
1041,Olympique Lyon
244,Olympique Marseille
273,FC Stade Rennes
826,RC Lens
969,HSC Montpellier
417,OGC Nizza
347,FC Metz
618,AS Saint-Étienne
40,FC Girondins Bordeaux
1420,Angers SCO
1421,Stade Reims
667,RC Straßburg Alsace
1158,FC Lorient
3911,Stade Brest 29
995,FC Nantes
1095,ESTAC Troyes
3524,Clermont Foot 63
